step,train_loss,train_acc,dev_loss,dev_acc
0,2.2955920696258545,0.097,2.3014516830444336,0.10285714285714286
100,0.6849446296691895,0.81575,0.5294961333274841,0.8094285714285714
200,0.4868282377719879,0.8425,0.4742732346057892,0.8304285714285714
300,0.3089866638183594,0.858,0.4089113175868988,0.8527142857142858
400,0.27714353799819946,0.8905,0.35151633620262146,0.8758571428571429
500,0.24218852818012238,0.88775,0.3312285244464874,0.8795714285714286
600,0.29841944575309753,0.88475,0.3336116671562195,0.8811428571428571
700,0.19762346148490906,0.89075,0.31898003816604614,0.8878571428571429
800,0.20616962015628815,0.89175,0.31792059540748596,0.886
900,0.27143844962120056,0.906,0.2944551110267639,0.8955714285714286
1000,0.30453574657440186,0.908,0.2871061861515045,0.899
1100,0.32723525166511536,0.90475,0.2850378453731537,0.8988571428571429
1200,0.21626079082489014,0.90725,0.2714581787586212,0.8998571428571429
1300,0.3207467794418335,0.90675,0.2763248085975647,0.9017142857142857
1400,0.1902138590812683,0.909,0.26439613103866577,0.9042857142857142
1500,0.3476782739162445,0.923,0.24972064793109894,0.9118571428571428
1600,0.15340152382850647,0.9185,0.2536768913269043,0.911
1700,0.31305065751075745,0.916,0.2612038254737854,0.9042857142857142
1800,0.307364821434021,0.91275,0.25586438179016113,0.9081428571428571
1900,0.32864269614219666,0.909,0.26566487550735474,0.9044285714285715
2000,0.27583223581314087,0.927,0.24481956660747528,0.914
2100,0.30639195442199707,0.92525,0.24441123008728027,0.9128571428571428
2200,0.12709341943264008,0.92025,0.251368910074234,0.9062857142857143
2300,0.2943379580974579,0.91725,0.25395482778549194,0.9077142857142857
2400,0.2869502007961273,0.928,0.2313665747642517,0.9172857142857143
2500,0.3305172026157379,0.92325,0.2415984869003296,0.9117142857142857
2600,0.1626698523759842,0.9175,0.2541810870170593,0.9108571428571428
2700,0.21072380244731903,0.91575,0.2638479769229889,0.904
2800,0.0968034490942955,0.93275,0.2297392040491104,0.9155714285714286
2900,0.15209424495697021,0.92475,0.24530336260795593,0.9138571428571428
3000,0.2619929909706116,0.9335,0.21874193847179413,0.9204285714285714
3100,0.1011856272816658,0.92525,0.24037325382232666,0.914
3200,0.21792010962963104,0.92875,0.23175112903118134,0.9151428571428571
3300,0.21872583031654358,0.937,0.23501716554164886,0.9155714285714286
3400,0.26306092739105225,0.93875,0.23902900516986847,0.917
3500,0.12663838267326355,0.9395,0.22622814774513245,0.9157142857142857
3600,0.15870800614356995,0.9175,0.2836672067642212,0.8985714285714286
3700,0.16414760053157806,0.94225,0.23195858299732208,0.9172857142857143
3800,0.1605151891708374,0.94375,0.2306937426328659,0.9155714285714286
3900,0.22122253477573395,0.935,0.23685675859451294,0.915
4000,0.12485871464014053,0.94925,0.23033364117145538,0.9185714285714286
4100,0.09366344660520554,0.943,0.232805073261261,0.9177142857142857
4200,0.14924170076847076,0.9425,0.23090578615665436,0.9181428571428571
4300,0.21946200728416443,0.93875,0.23537081480026245,0.9164285714285715
4400,0.18181614577770233,0.9435,0.22892358899116516,0.9192857142857143
4500,0.1378546953201294,0.9375,0.2338114231824875,0.9207142857142857
4600,0.14567720890045166,0.94825,0.220907062292099,0.9228571428571428
4700,0.2520371377468109,0.94825,0.23863905668258667,0.9188571428571428
4800,0.11875191330909729,0.95625,0.24239419400691986,0.9195714285714286
4900,0.13857761025428772,0.94525,0.233036607503891,0.9207142857142857
