step,train_loss,train_acc,dev_loss,dev_acc
0,2.3002238273620605,0.10575,2.300985813140869,0.09571428571428571
100,0.7383111715316772,0.79125,0.5730558633804321,0.7862857142857143
200,0.5321136713027954,0.8275,0.5181662440299988,0.8178571428571428
300,0.34667059779167175,0.85,0.44696250557899475,0.8471428571428572
400,0.2527464032173157,0.881,0.37566766142845154,0.8687142857142857
500,0.2620445489883423,0.86725,0.3774583339691162,0.866
600,0.31004419922828674,0.88,0.34681811928749084,0.8735714285714286
700,0.24005408585071564,0.88075,0.35051459074020386,0.8778571428571429
800,0.20178894698619843,0.8845,0.3431246280670166,0.8812857142857143
900,0.26295533776283264,0.894,0.31799906492233276,0.8878571428571429
1000,0.3326335847377777,0.90425,0.3055812418460846,0.8898571428571429
1100,0.3131062984466553,0.893,0.3026503920555115,0.8942857142857142
1200,0.23415252566337585,0.89575,0.2945411205291748,0.8938571428571429
1300,0.3041730523109436,0.90025,0.27831628918647766,0.9025714285714286
1400,0.16662366688251495,0.90875,0.27320635318756104,0.903
1500,0.46911346912384033,0.91275,0.2641128599643707,0.906
1600,0.15896567702293396,0.911,0.2652248740196228,0.9014285714285715
1700,0.3839249014854431,0.91575,0.2642805278301239,0.9045714285714286
1800,0.29449427127838135,0.90625,0.2697555124759674,0.9025714285714286
1900,0.3598741292953491,0.9165,0.26064956188201904,0.907
2000,0.2774575352668762,0.91125,0.2598152160644531,0.905
2100,0.32472020387649536,0.9135,0.26015782356262207,0.9075714285714286
2200,0.11744091659784317,0.916,0.2534092962741852,0.9071428571428571
2300,0.36596396565437317,0.91325,0.2738853991031647,0.9018571428571428
2400,0.2904813587665558,0.921,0.24607548117637634,0.9114285714285715
2500,0.3071030080318451,0.91775,0.25353842973709106,0.909
2600,0.21707038581371307,0.918,0.24550527334213257,0.9138571428571428
2700,0.18400506675243378,0.92875,0.24161368608474731,0.9111428571428571
2800,0.1197843924164772,0.92775,0.23905517160892487,0.9155714285714286
2900,0.21531620621681213,0.92375,0.23910409212112427,0.9154285714285715
3000,0.18577644228935242,0.92375,0.22953765094280243,0.9158571428571428
3100,0.14635658264160156,0.922,0.2409147322177887,0.9145714285714286
3200,0.2842755615711212,0.92175,0.2354743629693985,0.9151428571428571
3300,0.22636085748672485,0.9265,0.23683780431747437,0.9154285714285715
3400,0.30936381220817566,0.93325,0.2337716966867447,0.9172857142857143
3500,0.22362178564071655,0.9255,0.2323642373085022,0.9178571428571428
3600,0.17579178512096405,0.922,0.24430140852928162,0.9128571428571428
3700,0.16059261560440063,0.93275,0.23252512514591217,0.9185714285714286
3800,0.22348472476005554,0.9315,0.22797855734825134,0.9197142857142857
3900,0.2528943121433258,0.92925,0.22792449593544006,0.9188571428571428
4000,0.10717292129993439,0.9365,0.2266484498977661,0.9187142857142857
4100,0.11492787301540375,0.94,0.22877012193202972,0.9201428571428572
4200,0.2093801647424698,0.92875,0.2313072681427002,0.9178571428571428
4300,0.2328522801399231,0.9285,0.22834183275699615,0.9182857142857143
4400,0.21494978666305542,0.933,0.22830292582511902,0.9194285714285715
4500,0.1744168996810913,0.93275,0.22621916234493256,0.9201428571428572
4600,0.19207161664962769,0.93725,0.2241918295621872,0.9197142857142857
4700,0.26474881172180176,0.936,0.22498971223831177,0.9194285714285715
4800,0.11895731836557388,0.93375,0.22707973420619965,0.9192857142857143
4900,0.1997877061367035,0.931,0.22475752234458923,0.9201428571428572
