step,train_loss,train_acc,dev_loss,dev_acc
0,2.3011226654052734,0.13975,2.301290273666382,0.14657142857142857
100,0.5449514985084534,0.77525,0.5931897163391113,0.7802857142857142
200,0.47011590003967285,0.824,0.47774139046669006,0.8264285714285714
300,0.4133347272872925,0.8425,0.44017133116722107,0.8454285714285714
400,0.4964602589607239,0.8525,0.41029906272888184,0.8492857142857143
500,0.290658563375473,0.846,0.40485382080078125,0.8542857142857143
600,0.3422313630580902,0.88,0.35057228803634644,0.8722857142857143
700,0.22715888917446136,0.87575,0.3636196553707123,0.8718571428571429
800,0.3075215518474579,0.8805,0.3225657641887665,0.8857142857142857
900,0.3084006905555725,0.8975,0.3084905743598938,0.8907142857142857
1000,0.22612613439559937,0.88925,0.3069410026073456,0.8882857142857142
1100,0.3134521245956421,0.8975,0.29283052682876587,0.8938571428571429
1200,0.2875143885612488,0.8885,0.31800320744514465,0.879
1300,0.4011242687702179,0.894,0.27965816855430603,0.8998571428571429
1400,0.1930938959121704,0.914,0.2617521286010742,0.9037142857142857
1500,0.22559860348701477,0.91775,0.2695355713367462,0.905
1600,0.3026086986064911,0.921,0.2579328119754791,0.9074285714285715
1700,0.3441770672798157,0.90875,0.27770161628723145,0.9001428571428571
1800,0.17525625228881836,0.907,0.25881707668304443,0.905
1900,0.260487824678421,0.91625,0.25350672006607056,0.9091428571428571
2000,0.21307450532913208,0.9265,0.2440788298845291,0.9131428571428571
2100,0.18123912811279297,0.92075,0.2509009540081024,0.9104285714285715
2200,0.2236533910036087,0.92025,0.2443086802959442,0.9105714285714286
2300,0.25347623229026794,0.9095,0.2560040056705475,0.909
2400,0.2597416639328003,0.92,0.2423447221517563,0.9144285714285715
2500,0.19487151503562927,0.923,0.2451251745223999,0.9127142857142857
2600,0.16378363966941833,0.92275,0.23660612106323242,0.915
2700,0.1445147544145584,0.92875,0.23435871303081512,0.915
2800,0.3699725866317749,0.924,0.23305149376392365,0.9157142857142857
2900,0.31285253167152405,0.93475,0.22907617688179016,0.9168571428571428
3000,0.18945463001728058,0.92775,0.2445950210094452,0.912
3100,0.24808013439178467,0.935,0.22723084688186646,0.9185714285714286
3200,0.22366279363632202,0.93125,0.23340901732444763,0.914
3300,0.17389856278896332,0.9225,0.24610859155654907,0.9128571428571428
3400,0.14903005957603455,0.93175,0.22833028435707092,0.9197142857142857
3500,0.2567996680736542,0.93825,0.23668687045574188,0.9168571428571428
3600,0.17358794808387756,0.941,0.2314106971025467,0.9174285714285715
3700,0.10946059972047806,0.93675,0.22586315870285034,0.9184285714285715
3800,0.1671515256166458,0.93575,0.2242501974105835,0.9201428571428572
3900,0.17351418733596802,0.9345,0.22167739272117615,0.9197142857142857
4000,0.165824756026268,0.93475,0.22596050798892975,0.9177142857142857
4100,0.1944001317024231,0.939,0.22175003588199615,0.922
4200,0.14921854436397552,0.939,0.22455359995365143,0.9192857142857143
4300,0.09440087527036667,0.93875,0.22324998676776886,0.9161428571428571
4400,0.18362422287464142,0.93075,0.24038290977478027,0.9124285714285715
4500,0.1696309894323349,0.9345,0.2264382541179657,0.9202857142857143
4600,0.28451868891716003,0.94,0.22071103751659393,0.921
4700,0.24684417247772217,0.944,0.22129592299461365,0.9212857142857143
4800,0.1501440852880478,0.943,0.22322170436382294,0.9181428571428571
4900,0.21470800042152405,0.94275,0.22527414560317993,0.9187142857142857
