step,train_loss,train_acc,dev_loss,dev_acc
0,2.305062770843506,0.11525,2.2992429733276367,0.112
100,0.5951187610626221,0.8175,0.5132623314857483,0.8122857142857143
200,0.38909050822257996,0.8385,0.45617786049842834,0.8352857142857143
300,0.3083788752555847,0.84575,0.4054592549800873,0.856
400,0.5494878888130188,0.88,0.37128305435180664,0.8661428571428571
500,0.35791611671447754,0.87275,0.3618997633457184,0.869
600,0.3764555752277374,0.892,0.3271811902523041,0.8807142857142857
700,0.28031811118125916,0.88825,0.3256385922431946,0.8837142857142857
800,0.331258624792099,0.899,0.30339279770851135,0.8884285714285715
900,0.2693203091621399,0.88875,0.3256002366542816,0.8784285714285714
1000,0.35693350434303284,0.9005,0.306232750415802,0.891
1100,0.20603705942630768,0.906,0.2922755181789398,0.8931428571428571
1200,0.32519397139549255,0.9035,0.2837008237838745,0.8985714285714286
1300,0.1780594438314438,0.91875,0.26119837164878845,0.9042857142857142
1400,0.2224118411540985,0.91675,0.25560060143470764,0.9077142857142857
1500,0.2954319715499878,0.92275,0.26350608468055725,0.9101428571428571
1600,0.26323026418685913,0.92075,0.25207290053367615,0.9118571428571428
1700,0.3046739399433136,0.913,0.25449103116989136,0.9068571428571428
1800,0.2513994574546814,0.92325,0.2593080997467041,0.9085714285714286
1900,0.20286792516708374,0.91975,0.25051167607307434,0.9088571428571428
2000,0.08022620528936386,0.9105,0.25598129630088806,0.9092857142857143
2100,0.22311638295650482,0.92225,0.248256117105484,0.9091428571428571
2200,0.2568929195404053,0.92,0.2574447691440582,0.9057142857142857
2300,0.31413713097572327,0.92225,0.24655862152576447,0.9084285714285715
2400,0.25143906474113464,0.9175,0.24573767185211182,0.9078571428571428
2500,0.16630007326602936,0.93225,0.23771479725837708,0.9158571428571428
2600,0.23088884353637695,0.92725,0.23253601789474487,0.9138571428571428
2700,0.3489161729812622,0.93225,0.2374580055475235,0.9138571428571428
2800,0.1163848340511322,0.937,0.2325911521911621,0.9157142857142857
2900,0.15378805994987488,0.942,0.23245657980442047,0.916
3000,0.21248482167720795,0.93225,0.2341446727514267,0.9142857142857143
3100,0.14012470841407776,0.93175,0.23091872036457062,0.9162857142857143
3200,0.08277714997529984,0.93825,0.23000174760818481,0.9148571428571428
3300,0.13829536736011505,0.93875,0.22946767508983612,0.9155714285714286
3400,0.1787061244249344,0.935,0.22849725186824799,0.9145714285714286
3500,0.2291446179151535,0.93825,0.23117898404598236,0.9167142857142857
3600,0.12224045395851135,0.93625,0.23256456851959229,0.9165714285714286
3700,0.12801264226436615,0.93625,0.23575559258460999,0.9161428571428571
3800,0.1593068242073059,0.941,0.22661204636096954,0.9192857142857143
3900,0.15627260506153107,0.9485,0.22719015181064606,0.9181428571428571
4000,0.19714580476284027,0.93575,0.22731541097164154,0.92
4100,0.12140090763568878,0.9425,0.22787438333034515,0.9178571428571428
4200,0.13616248965263367,0.94525,0.22412443161010742,0.9214285714285714
4300,0.09928473830223083,0.94075,0.2240780144929886,0.9205714285714286
4400,0.19606895744800568,0.9445,0.22515501081943512,0.9181428571428571
4500,0.20496025681495667,0.9435,0.22641730308532715,0.9194285714285715
4600,0.18018585443496704,0.94525,0.22342458367347717,0.9201428571428572
4700,0.136606365442276,0.94775,0.22315314412117004,0.9195714285714286
4800,0.2458365261554718,0.94625,0.22387714684009552,0.9191428571428572
4900,0.141738161444664,0.94525,0.2231801599264145,0.9178571428571428
